task,seed,variant,display_name,role,mask_path,threshold_policy,complete,missing,support_iou,support_precision,support_recall,support_area_ratio,eval_area_ratio,downstream_method,outside_mask_l1,inside_mask_l1,source_ssim_luma,edit_score
cat_crown,12,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0514,0.0718,0.1528,0.0442,0.0207,,,,,
cat_crown,12,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0149,0.0210,0.0487,0.0481,0.0207,,,,,
cat_crown,12,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0148,0.0209,0.0482,0.0479,0.0207,,,,,
cat_crown,12,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.2370,0.2582,0.7422,0.0596,0.0207,,,,,
cat_crown,12,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_12/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0452,0.0207,adaptive_full_generic_support,0.05775348097085953,0.05816100165247917,0.6575370441729955,0.002232372760772705
cat_crown,12,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.0115,0.0195,0.0272,0.0290,0.0207,support_v3_controller_rmsgap,0.05732664093375206,0.05475188419222832,0.6501181646461842,0.10086880624294281
dog_bow_tie_phase2,10,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.2138,0.3791,0.3289,0.0444,0.0512,,,,,
dog_bow_tie_phase2,10,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0256,0.0517,0.0485,0.0480,0.0512,,,,,
dog_bow_tie_phase2,10,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0261,0.0519,0.0497,0.0490,0.0512,,,,,
dog_bow_tie_phase2,10,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.0308,0.0407,0.1125,0.1414,0.0512,,,,,
dog_bow_tie_phase2,10,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/dog_bow_tie_phase2/adaptive_full_generic_support/seed_10/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0435,0.0512,adaptive_full_generic_support,,,,
dog_bow_tie_phase2,10,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.6084,0.6629,0.8809,0.0680,0.0512,support_v3_controller_rmsgap,,,,
dog_bow_tie_phase2,11,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.2138,0.3791,0.3289,0.0444,0.0512,,,,,
dog_bow_tie_phase2,11,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0256,0.0517,0.0485,0.0480,0.0512,,,,,
dog_bow_tie_phase2,11,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0261,0.0519,0.0497,0.0490,0.0512,,,,,
dog_bow_tie_phase2,11,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.0308,0.0407,0.1125,0.1414,0.0512,,,,,
dog_bow_tie_phase2,11,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/dog_bow_tie_phase2/adaptive_full_generic_support/seed_11/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0435,0.0512,adaptive_full_generic_support,,,,
dog_bow_tie_phase2,11,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.6084,0.6629,0.8809,0.0680,0.0512,support_v3_controller_rmsgap,,,,
dog_bow_tie_phase2,12,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.2138,0.3791,0.3289,0.0444,0.0512,,,,,
dog_bow_tie_phase2,12,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0256,0.0517,0.0485,0.0480,0.0512,,,,,
dog_bow_tie_phase2,12,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0261,0.0519,0.0497,0.0490,0.0512,,,,,
dog_bow_tie_phase2,12,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.0308,0.0407,0.1125,0.1414,0.0512,,,,,
dog_bow_tie_phase2,12,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/dog_bow_tie_phase2/adaptive_full_generic_support/seed_12/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0435,0.0512,adaptive_full_generic_support,,,,
dog_bow_tie_phase2,12,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/dog_bow_tie_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.6084,0.6629,0.8809,0.0680,0.0512,support_v3_controller_rmsgap,,,,
dog_front_sunglasses_phase2,10,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0461,0.2044,,,,,
dog_front_sunglasses_phase2,10,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0397,0.2025,0.0471,0.0475,0.2044,,,,,
dog_front_sunglasses_phase2,10,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0407,0.2045,0.0484,0.0484,0.2044,,,,,
dog_front_sunglasses_phase2,10,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.2227,0.2231,0.9922,0.9090,0.2044,,,,,
dog_front_sunglasses_phase2,10,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/dog_front_sunglasses_phase2/adaptive_full_generic_support/seed_10/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0138,0.2044,adaptive_full_generic_support,,,,
dog_front_sunglasses_phase2,10,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.7002,0.8004,0.8483,0.2167,0.2044,support_v3_controller_rmsgap,,,,
dog_front_sunglasses_phase2,11,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0461,0.2044,,,,,
dog_front_sunglasses_phase2,11,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0397,0.2025,0.0471,0.0475,0.2044,,,,,
dog_front_sunglasses_phase2,11,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0407,0.2045,0.0484,0.0484,0.2044,,,,,
dog_front_sunglasses_phase2,11,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.2227,0.2231,0.9922,0.9090,0.2044,,,,,
dog_front_sunglasses_phase2,11,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/dog_front_sunglasses_phase2/adaptive_full_generic_support/seed_11/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0138,0.2044,adaptive_full_generic_support,,,,
dog_front_sunglasses_phase2,11,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.7002,0.8004,0.8483,0.2167,0.2044,support_v3_controller_rmsgap,,,,
dog_front_sunglasses_phase2,12,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0461,0.2044,,,,,
dog_front_sunglasses_phase2,12,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0397,0.2025,0.0471,0.0475,0.2044,,,,,
dog_front_sunglasses_phase2,12,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0407,0.2045,0.0484,0.0484,0.2044,,,,,
dog_front_sunglasses_phase2,12,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.2227,0.2231,0.9922,0.9090,0.2044,,,,,
dog_front_sunglasses_phase2,12,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/dog_front_sunglasses_phase2/adaptive_full_generic_support/seed_12/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0138,0.2044,adaptive_full_generic_support,,,,
dog_front_sunglasses_phase2,12,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/dog_front_sunglasses_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.7002,0.8004,0.8483,0.2167,0.2044,support_v3_controller_rmsgap,,,,
bowl_apple_inside,10,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0477,0.0376,,,,,
bowl_apple_inside,10,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0690,0.1157,0.1461,0.0475,0.0376,,,,,
bowl_apple_inside,10,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0690,0.1156,0.1461,0.0475,0.0376,,,,,
bowl_apple_inside,10,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.5281,0.5286,0.9985,0.0711,0.0376,,,,,
bowl_apple_inside,10,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_10/masks/core_final.png,binary_midpoint,1,0,0.3452,0.3824,0.7802,0.0768,0.0376,adaptive_full_generic_support,0.06211025267839432,0.1387476623058319,0.5107337341477132,0.0071256160736083984
bowl_apple_inside,10,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.6835,0.7144,0.9405,0.0495,0.0376,support_v3_controller_rmsgap,0.053300466388463974,0.08588545769453049,0.5367322585834459,0.019969016313552856
bowl_apple_inside,11,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0477,0.0376,,,,,
bowl_apple_inside,11,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0690,0.1157,0.1461,0.0475,0.0376,,,,,
bowl_apple_inside,11,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0690,0.1156,0.1461,0.0475,0.0376,,,,,
bowl_apple_inside,11,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.5281,0.5286,0.9985,0.0711,0.0376,,,,,
bowl_apple_inside,11,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_11/masks/core_final.png,binary_midpoint,1,0,0.3109,0.3533,0.7214,0.0769,0.0376,adaptive_full_generic_support,0.06201312318444252,0.1447371244430542,0.5124920882224427,0.014182239770889282
bowl_apple_inside,11,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.6835,0.7144,0.9405,0.0495,0.0376,support_v3_controller_rmsgap,0.05330554023385048,0.0863076001405716,0.5365941834379154,0.020100951194763184
bowl_apple_inside,12,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0477,0.0376,,,,,
bowl_apple_inside,12,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0690,0.1157,0.1461,0.0475,0.0376,,,,,
bowl_apple_inside,12,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0690,0.1156,0.1461,0.0475,0.0376,,,,,
bowl_apple_inside,12,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.5281,0.5286,0.9985,0.0711,0.0376,,,,,
bowl_apple_inside,12,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_12/masks/core_final.png,binary_midpoint,1,0,0.3109,0.3533,0.7214,0.0769,0.0376,adaptive_full_generic_support,0.0618564635515213,0.14699043333530426,0.5105982203980785,0.016157597303390503
bowl_apple_inside,12,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.6835,0.7144,0.9405,0.0495,0.0376,support_v3_controller_rmsgap,0.05329141020774841,0.08589544147253036,0.5367566085819788,0.02039363980293274
white_bowl_orange_tabletop_phase2,10,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0466,0.0260,,,,,
white_bowl_orange_tabletop_phase2,10,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0347,0.0519,0.0948,0.0474,0.0260,,,,,
white_bowl_orange_tabletop_phase2,10,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0355,0.0528,0.0977,0.0480,0.0260,,,,,
white_bowl_orange_tabletop_phase2,10,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.0497,0.0551,0.3358,0.1581,0.0260,,,,,
white_bowl_orange_tabletop_phase2,10,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/adaptive_full_generic_support/seed_10/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0354,0.0260,adaptive_full_generic_support,,,,
white_bowl_orange_tabletop_phase2,10,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0354,0.0260,support_v3_controller_rmsgap,,,,
white_bowl_orange_tabletop_phase2,11,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0466,0.0260,,,,,
white_bowl_orange_tabletop_phase2,11,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0347,0.0519,0.0948,0.0474,0.0260,,,,,
white_bowl_orange_tabletop_phase2,11,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0355,0.0528,0.0977,0.0480,0.0260,,,,,
white_bowl_orange_tabletop_phase2,11,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.0497,0.0551,0.3358,0.1581,0.0260,,,,,
white_bowl_orange_tabletop_phase2,11,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/adaptive_full_generic_support/seed_11/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0354,0.0260,adaptive_full_generic_support,,,,
white_bowl_orange_tabletop_phase2,11,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0354,0.0260,support_v3_controller_rmsgap,,,,
white_bowl_orange_tabletop_phase2,12,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0466,0.0260,,,,,
white_bowl_orange_tabletop_phase2,12,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0347,0.0519,0.0948,0.0474,0.0260,,,,,
white_bowl_orange_tabletop_phase2,12,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0355,0.0528,0.0977,0.0480,0.0260,,,,,
white_bowl_orange_tabletop_phase2,12,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.0497,0.0551,0.3358,0.1581,0.0260,,,,,
white_bowl_orange_tabletop_phase2,12,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/adaptive_full_generic_support/seed_12/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0354,0.0260,adaptive_full_generic_support,,,,
white_bowl_orange_tabletop_phase2,12,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/white_bowl_orange_tabletop_phase2/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0354,0.0260,support_v3_controller_rmsgap,,,,
brown_bowl_lemon_phase2,10,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/brown_bowl_lemon_phase2/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.3751,0.4500,0.6928,0.0401,0.0260,,,,,
