task,method,seed,edit_success,preservation,locality,artifact,overall,notes
mug_heart,splitflow,10,5,4,4,4,4,Clean heart; moderate viewpoint/lighting change.
mug_heart,splitflow,11,5,4,4,4,4,Clean heart; moderate viewpoint/lighting change.
mug_heart,splitflow,12,5,4,4,4,4,Clean heart; moderate viewpoint/lighting change.
mug_heart,fireflow,10,3,4,4,3,3,Heart is small; mug layout mostly preserved.
mug_heart,fireflow,11,3,4,4,3,3,Heart is small; mug layout mostly preserved.
mug_heart,fireflow,12,3,4,4,3,3,Heart is small; mug layout mostly preserved.
mug_heart,rf_solver_edit,10,2,4,4,3,3,Heart is very small; mug layout mostly preserved.
mug_heart,rf_solver_edit,11,2,4,4,3,3,Heart is very small; mug layout mostly preserved.
mug_heart,rf_solver_edit,12,2,4,4,3,3,Heart is very small; mug layout mostly preserved.
backpack_remove_toy_charm,ours_full,10,5,5,5,4,5,"Dangling toy removed; patch, strap, zipper, and fabric preserved."
backpack_remove_toy_charm,ours_full,11,5,5,5,4,5,"Dangling toy removed; patch, strap, zipper, and fabric preserved."
backpack_remove_toy_charm,ours_full,12,5,5,5,4,5,"Dangling toy removed; patch, strap, zipper, and fabric preserved."
backpack_remove_toy_charm,flowedit,10,1,1,1,2,1,Regenerates a different backpack/keychain scene and often keeps a charm.
backpack_remove_toy_charm,flowedit,11,1,1,1,2,1,Regenerates a different backpack/keychain scene and often keeps a charm.
backpack_remove_toy_charm,flowedit,12,1,1,1,2,1,Regenerates a different backpack/keychain scene and often keeps a charm.
backpack_remove_toy_charm,splitflow,10,1,2,1,2,1,Redraws the scene and keeps/regenerates a dangling toy.
backpack_remove_toy_charm,splitflow,11,1,2,1,2,1,Redraws the scene and keeps/regenerates a dangling toy.
backpack_remove_toy_charm,splitflow,12,1,2,1,2,1,Redraws the scene and keeps/regenerates a dangling toy.
backpack_remove_toy_charm,fireflow,10,1,4,1,2,2,Source layout partly preserved but dangling toy remains.
backpack_remove_toy_charm,fireflow,11,1,4,1,2,2,Source layout partly preserved but dangling toy remains.
backpack_remove_toy_charm,fireflow,12,1,4,1,2,2,Source layout partly preserved but dangling toy remains.
backpack_remove_toy_charm,rf_solver_edit,10,1,4,1,2,2,Source layout partly preserved but dangling toy remains.
backpack_remove_toy_charm,rf_solver_edit,11,1,4,1,2,2,Source layout partly preserved but dangling toy remains.
backpack_remove_toy_charm,rf_solver_edit,12,1,4,1,2,2,Source layout partly preserved but dangling toy remains.
